수원시정_만족도,경제사회적_위치,성별,연령대3,가구원_수1,가구원_수2,수원시_생활권,월평균_가구소득,연령대2,year,거주_동,주택_유형,거주_구,연령대1,종교,정책_관심도,수원_거주_기간
ADD3,DM12,DM1,DM23,DM71,DM72,DM32,DM11,DM22,2023,DM31,DM9,DM3,DM21,DM6,ADD1,DM7
3,2,1,3,2,3,1,7,2,2023,43,2,4,5,5,2,5
3,3,1,4,2,2,1,7,3,2023,43,2,4,6,5,2,4
3,3,1,1,2,2,1,6,1,2023,43,2,4,2,5,2,4
3,3,2,1,2,3,1,5,1,2023,43,2,4,3,5,2,4
3,3,2,2,2,3,1,6,2,2023,43,1,4,4,3,1,4
3,3,2,1,2,2,1,5,1,2023,43,1,4,2,5,2,3
2,2,2,4,1,1,1,3,3,2023,43,1,4,7,5,2,7
3,3,2,2,2,3,1,4,2,2023,43,1,4,3,3,3,3
3,3,2,3,2,4,1,7,2,2023,43,1,4,5,2,2,4
3,3,1,3,2,3,1,5,2,2023,43,1,4,5,5,2,5
3,3,2,4,2,4,1,7,3,2023,43,1,4,6,5,2,6
3,3,1,2,2,2,1,7,2,2023,43,1,4,4,5,2,4
3,3,1,2,2,3,1,3,2,2023,43,1,4,3,5,2,2
3,3,1,4,2,3,1,7,3,2023,43,1,4,7,5,3,7
2,3,1,1,2,2,1,6,1,2023,43,1,4,2,1,2,3
3,3,2,2,2,3,1,6,2,2023,43,1,4,4,5,3,4
2,3,1,3,2,4,1,7,2,2023,43,1,4,6,5,2,7
3,3,1,3,2,2,1,5,2,2023,43,1,4,5,5,2,2
3,3,2,1,1,1,1,2,1,2023,43,1,4,2,5,2,4
3,3,1,2,2,2,1,6,2,2023,43,1,4,3,1,2,4
3,3,1,2,2,3,1,7,2,2023,43,1,4,4,2,3,3
3,3,2,1,2,2,1,4,1,2023,43,1,4,3,3,2,5
3,3,2,2,2,4,1,5,2,2023,43,1,4,4,5,2,4
2,3,1,3,2,2,1,4,2,2023,43,1,4,5,5,1,5
3,3,1,1,2,3,1,7,1,2023,43,1,4,2,5,2,4
3,3,2,3,2,4,1,7,2,2023,43,1,4,6,5,3,5
2,2,2,3,2,3,1,6,2,2023,43,1,4,5,5,3,4
3,3,2,1,2,2,1,6,1,2023,43,1,4,2,2,3,1
2,3,2,4,2,3,1,6,3,2023,43,1,4,7,2,3,7
3,3,2,3,2,4,1,7,2,2023,43,1,4,6,5,2,6
3,2,1,3,2,2,6,4,2,2023,26,3,3,5,5,1,3
3,1,2,2,2,3,6,3,2,2023,26,3,3,3,5,1,2
3,3,2,3,2,2,6,3,2,2023,26,3,3,5,2,2,4
3,2,2,3,2,3,2,6,2,2023,20,1,2,6,5,2,3
3,2,2,3,2,2,6,4,2,2023,27,3,3,6,5,3,3
3,3,2,3,2,2,3,5,2,2023,3,3,1,6,5,2,5
3,3,1,1,2,3,5,4,1,2023,39,1,4,3,5,3,5
3,3,1,4,2,2,5,3,3,2023,39,1,4,7,5,3,7
3,3,2,1,2,2,5,5,1,2023,39,1,4,2,2,3,1
3,3,1,3,2,3,5,7,2,2023,39,1,4,5,2,2,5
3,3,1,1,2,2,5,6,1,2023,39,1,4,3,5,2,1
3,3,1,2,2,3,5,7,2,2023,39,1,4,4,5,2,6
3,2,2,2,2,4,5,4,2,2023,39,1,4,4,5,3,4
3,3,1,1,2,2,5,5,1,2023,39,1,4,2,5,2,4
3,3,2,3,2,2,5,4,2,2023,39,1,4,6,5,3,7
2,3,1,1,2,2,5,7,1,2023,39,1,4,3,2,2,2
3,3,2,2,2,2,5,6,2,2023,39,1,4,4,1,3,2
3,3,2,1,2,3,5,6,1,2023,39,1,4,3,5,2,4
3,1,1,2,2,3,2,3,2,2023,14,3,2,4,5,2,1
3,2,2,4,2,2,2,2,3,2023,14,3,2,6,1,1,4
3,1,2,4,2,2,2,1,3,2023,14,3,2,7,2,1,4
3,1,2,2,2,4,2,3,2,2023,20,1,2,4,2,1,2
3,1,2,4,2,2,1,3,3,2023,10,3,1,6,5,2,6
3,2,2,2,2,3,2,5,2,2023,20,1,2,4,5,2,2
3,3,1,4,2,2,5,2,3,2023,35,3,4,7,5,3,3
3,3,1,4,1,1,3,4,3,2023,1,3,1,6,5,2,2
2,1,2,2,2,3,2,5,2,2023,20,1,2,3,5,1,3
3,1,2,2,2,3,2,6,2,2023,20,1,2,3,5,2,2
3,1,1,2,2,3,6,4,2,2023,26,1,3,4,5,2,3
