질문번호,질문내용,답변,응답 수
resi_y,거주기간(년),10.0,189
resi_y,거주기간(년),5.0,134
resi_y,거주기간(년),3.0,110
resi_y,거주기간(년),20.0,98
resi_y,거주기간(년),2.0,98
resi_y,거주기간(년),6.0,98
resi_y,거주기간(년),1.0,88
resi_y,거주기간(년),4.0,80
resi_y,거주기간(년),7.0,77
resi_y,거주기간(년),8.0,74
resi_y,거주기간(년),9.0,70
resi_y,거주기간(년),15.0,65
resi_y,거주기간(년),30.0,57
resi_y,거주기간(년),11.0,52
resi_y,거주기간(년),0.0,36
resi_y,거주기간(년),12.0,36
resi_y,거주기간(년),25.0,35
resi_y,거주기간(년),23.0,33
resi_y,거주기간(년),14.0,25
resi_y,거주기간(년),16.0,25
resi_y,거주기간(년),22.0,24
resi_y,거주기간(년),13.0,23
resi_y,거주기간(년),24.0,21
resi_y,거주기간(년),40.0,20
resi_y,거주기간(년),21.0,18
resi_y,거주기간(년),29.0,17
resi_y,거주기간(년),26.0,17
resi_y,거주기간(년),18.0,17
resi_y,거주기간(년),17.0,16
resi_y,거주기간(년),19.0,14
resi_y,거주기간(년),27.0,13
resi_y,거주기간(년),35.0,13
resi_y,거주기간(년),28.0,13
resi_y,거주기간(년),33.0,12
resi_y,거주기간(년),31.0,10
resi_y,거주기간(년),32.0,10
resi_y,거주기간(년),34.0,7
resi_y,거주기간(년),48.0,5
resi_y,거주기간(년),41.0,5
resi_y,거주기간(년),45.0,4
resi_y,거주기간(년),52.0,3
resi_y,거주기간(년),42.0,3
resi_y,거주기간(년),43.0,2
resi_y,거주기간(년),50.0,2
resi_y,거주기간(년),36.0,2
resi_y,거주기간(년),39.0,2
resi_y,거주기간(년),37.0,2
resi_y,거주기간(년),49.0,1
resi_y,거주기간(년),62.0,1
resi_y,거주기간(년),59.0,1
resi_y,거주기간(년),44.0,1
resi_y,거주기간(년),57.0,1
resi_y,거주기간(년),38.0,1
resi_m,거주기간(월),0.0,263
resi_m,거주기간(월),2.0,209
resi_m,거주기간(월),6.0,206
resi_m,거주기간(월),5.0,183
resi_m,거주기간(월),3.0,162
resi_m,거주기간(월),1.0,152
resi_m,거주기간(월),8.0,146
resi_m,거주기간(월),10.0,123
resi_m,거주기간(월),4.0,115
resi_m,거주기간(월),7.0,111
resi_m,거주기간(월),9.0,63
resi_m,거주기간(월),11.0,43
resi_m,거주기간(월),12.0,3
resi_m,거주기간(월),13.0,1
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,5.0,560
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,4.0,471
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,6.0,336
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,3.0,213
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,7.0,86
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,2.0,81
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,1.0,36
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,5.0,613
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,4.0,416
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,6.0,404
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,7.0,149
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,3.0,145
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,2.0,39
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,1.0,17
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,5.0,600
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,4.0,523
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,6.0,348
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,3.0,161
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,7.0,96
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,2.0,44
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,1.0,11
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",2.0,382
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",1.0,254
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",3.0,146
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",4.0,61
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",5.0,58
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",7.0,48
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",8.0,25
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",6.0,19
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",9.0,13
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",4.0,186
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",2.0,179
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",3.0,179
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",5.0,136
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",7.0,107
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",1.0,99
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",6.0,72
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",8.0,46
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",9.0,2
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",4.0,154
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",5.0,150
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",7.0,149
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",3.0,124
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",8.0,120
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",6.0,107
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",2.0,90
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",1.0,86
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",9.0,26
