질문번호,질문,답변1,답변2,답변3,답변항목 설명
q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,"5 (550.6명, 32.3%)","4 (434.3명, 25.5%)","6 (329.9명, 19.4%)","① 전혀 모르고 있다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 잘 알고 있다"
q10_1_1,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-옆집에 이사 와서 이웃이 되는 것 _1. 외국인 노동자","3 (943.5명, 55.4%)","2 (379.5명, 22.3%)","4 (275.3명, 16.2%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_1_2,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-옆집에 이사 와서 이웃이 되는 것 _2. 외국 이주민","3 (954.8명, 56.0%)","4 (349.8명, 20.5%)","2 (298.3명, 17.5%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_1_3,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-옆집에 이사 와서 이웃이 되는 것 _3. 다문화 학생","3 (885.1명, 52.0%)","4 (543.8명, 31.9%)","2 (212.9명, 12.5%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_1_4,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-옆집에 이사 와서 이웃이 되는 것 _4. 장애인","3 (908.2명, 53.3%)","4 (524.1명, 30.8%)","2 (224.6명, 13.2%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_1_5,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-옆집에 이사 와서 이웃이 되는 것 _5. 새터민(북한이탈주민)","3 (873.4명, 51.3%)","2 (381.4명, 22.4%)","4 (364.4명, 21.4%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_1_6,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-옆집에 이사 와서 이웃이 되는 것 _6. 성소수자","2 (568.5명, 33.4%)","3 (558.2명, 32.8%)","1 (310.0명, 18.2%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_1_7,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-옆집에 이사 와서 이웃이 되는 것 _7. 난민","3 (661.4명, 38.8%)","2 (547.8명, 32.2%)","4 (250.7명, 14.7%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_2_1,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-나 혹은 자녀와 친구로 지내는 것 _1. 외국인 노동자","3 (907.1명, 53.2%)","2 (366.0명, 21.5%)","4 (313.8명, 18.4%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_2_2,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-나 혹은 자녀와 친구로 지내는 것 _2. 외국 이주민","3 (905.3명, 53.1%)","4 (396.3명, 23.3%)","2 (296.4명, 17.4%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
