,도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
0,경제,q21,"21. 일반 물가는 1년전보다 더 오를 것 같습니까, 덜 오를 것 같습니까, 혹은 비슷하게 오를 것 같습니까?","2 (679.8명, 39.9%)","3 (456.9명, 26.8%)","1 (429.0명, 25.2%)","① 1년 전보다 많이 오를 것이다
② 1년 전보다 조금 오를 것이다
③ 비슷하게 오를 것이다
④ 1년 전보다 조금 덜 오를 것이다
⑤ 1년 전보다 많이 덜 오를 것이다"
1,경제,q22,"22. 현재 귀댁의 소비지출은 지난 1년 전에 비해 더 늘었습니까, 더 줄었습니까, 혹은 비슷합니까?","3 (623.7명, 36.6%)","2 (612.8명, 36.0%)","4 (230.9명, 13.6%)","① 많이 늘었다
② 조금 늘었다
③ 비슷하다
④ 조금 줄었다
⑤ 많이 줄었다 "
2,경제,q23_1,"23. 귀하께서 생각하시는 내년도 수원시민의 경제이슈는 무엇이라고 생각하십니까? 생각하시는 순서대로 3가지를 선택해 주십시오. 
(1순위)","3 (527.7명, 31.0%)","1 (336.4명, 19.7%)","2 (320.1명, 18.8%)","① 실업 및 고용 악화			
② 소득 양극화
③ 체감 물가 상승			
④ 가계부채 증가
⑤ 부동산 경기 악화			
⑥ 자영업자 등 소상공인 문제
⑦ 소비심리 및 내수경기 침체		
⑧ 공공요금 인상
⑨ 기타(                  )"
3,경제,q23_2,"23. 귀하께서 생각하시는 내년도 수원시민의 경제이슈는 무엇이라고 생각하십니까? 생각하시는 순서대로 3가지를 선택해 주십시오. 
(2순위)","3 (338.5명, 19.9%)","4 (258.6명, 15.2%)","2 (257.7명, 15.1%)","① 실업 및 고용 악화			
② 소득 양극화
③ 체감 물가 상승			
④ 가계부채 증가
⑤ 부동산 경기 악화			
⑥ 자영업자 등 소상공인 문제
⑦ 소비심리 및 내수경기 침체		
⑧ 공공요금 인상
⑨ 기타(                  )"
4,경제,q24_2,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_2.생활물가","4 (875.1명, 51.4%)","3 (401.9명, 23.6%)","5 (249.8명, 14.7%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
5,경제,q24_3,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_3.소비심리 및 내수경기","4 (863.2명, 50.7%)","3 (409.2명, 24.0%)","5 (234.2명, 13.7%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
6,경제,q24_4,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_4.자영업자 등 소상공인 문제","4 (779.7명, 45.8%)","3 (444.3명, 26.1%)","5 (289.5명, 17.0%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
7,경제,q24_5,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_5.가계소득","4 (782.1명, 45.9%)","3 (505.1명, 29.7%)","2 (201.0명, 11.8%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
8,경제,q24_6,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_6.소득양극화","4 (820.4명, 48.2%)","3 (416.4명, 24.4%)","5 (291.0명, 17.1%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
9,정책 인지도·만족도(체감도),q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,"5 (550.6명, 32.3%)","4 (434.3명, 25.5%)","6 (329.9명, 19.4%)","① 전혀 모르고 있다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 잘 알고 있다"
10,정책 인지도·만족도(체감도),q17_7,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_7. 문화예술이 풍부한 도시","4 (851.1명, 50.0%)","3 (449.7명, 26.4%)","5 (321.8명, 18.9%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
11,정책 인지도·만족도(체감도),q18_1,"18. 귀하는 2030년 수원이 어떠한 모습의 도시가 되기를 기대하십니까? 
(1순위)","1 (488.2명, 28.7%)","3 (395.2명, 23.2%)","2 (219.1명, 12.9%)","① 경제도시 			
② 교육도시
③ 문화도시			
④ 복지(돌봄)도시
⑤ 건강도시			
⑥ 안전도시
⑦ 환경도시			
⑧ 스마트도시
⑨ 스포츠도시		
⑩ 첨단교통도시
⑪ 관광도시			
⑫ 기타 (            )"
12,정책 인지도·만족도(체감도),q18_2,"18. 귀하는 2030년 수원이 어떠한 모습의 도시가 되기를 기대하십니까? 
(2순위)","7 (257.9명, 15.1%)","6 (223.6명, 13.1%)","3 (220.3명, 12.9%)","① 경제도시 			
② 교육도시
③ 문화도시			
④ 복지(돌봄)도시
⑤ 건강도시			
⑥ 안전도시
⑦ 환경도시			
⑧ 스마트도시
⑨ 스포츠도시		
⑩ 첨단교통도시
⑪ 관광도시			
⑫ 기타 (            )"
13,정책 인지도·만족도(체감도),q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,"5 (597.7명, 35.1%)","6 (408.1명, 24.0%)","4 (357.0명, 21.0%)","① 전혀 관심이 없다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 관심 있다"
14,정책 인지도·만족도(체감도),q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,"5 (584.4명, 34.3%)","6 (416.3명, 24.4%)","4 (401.5명, 23.6%)","① 전혀 만족하지 못한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 만족한다"
15,정책 인지도·만족도(체감도),q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. (1순위)","2 (488.1명, 43.9%)","1 (246.6명, 22.2%)","3 (112.8명, 10.1%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
16,정책 인지도·만족도(체감도),q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. (2순위)","2 (212.7명, 19.2%)","3 (196.1명, 17.7%)","4 (193.9명, 17.5%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
17,정책 인지도·만족도(체감도),q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. (3순위)","7 (169.6명, 15.3%)","5 (167.5명, 15.1%)","3 (159.4명, 14.4%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
18,정책 인지도·만족도(체감도),q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?","2 (559.4명, 32.8%)","1 (503.7명, 29.6%)","3 (421.0명, 24.7%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다"
19,정책 인지도·만족도(체감도),q5_1,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성","5 (540.7명, 31.7%)","4 (456.2명, 26.8%)","6 (426.1명, 25.0%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
